lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
171546	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	"location info from Albatross collection site google map (Malin 2026-04-08). This particular lot is not listed in the google map, but the species and the site name are correct."
175204	Cat	Catb	Catbalogan	11.7734659	124.879118	NA	Catbalogan	Samar	Eastern Visayas	Visayas	NA
175208	Tum	Tumi	Tumindao	4.6778438	119.415194	NA	Sitangkai	Tawi-tawi	BARMM	Mindanao	NA
175209	Can	CanB	Canmahala_Bay	13.2195058	123.041741	NA	San Pascual	Masbate	Bicol	Luzon	Anima Sola Island
179932	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
179976	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
180035	Rag	RagR	Ragay_River	13.8105766	122.72906	NA	Ragay	Camarines Sur	Bicol	Luzon	NA
180038	Dup	Dupo	Port_Dupon	10.931896	124.426504	Monte Alegre	Isabel	Leyte	Eastern Visayas	Visayas	NA
180039	Ceb	Pand	Cebu_Market	10.2950309	123.912569	NA	Cebu City	Cebu	Central Visayas	Visayas	Cebu Baseport Area
180048	Vic	Vice	Port_San_Vicente	18.5154096	122.138975	NA	Santa Ana	Cagayan	Cagayan Valley	Luzon	NA
180049	Pnb	Pana	Pabutan_Bay	7.68	122.02	NA	Siocon	Zamboanga del Norte	Zamboanga Peninsula	Mindanao	NA
180050	Mah	NA	Mahinog	NA	NA	NA	NA	NA	NA	NA	NA
180061	Rag	RagR	Ragay_Gulf	13.2195058	123.041741	NA	San Pascual	Masbate	Bicol	Luzon	Anima Sola Island
180062	Pag	SanR	Santiago_River	13.8565766	120.658957	Bucal	Calatagan	Batangas	CALABARZON	Luzon	NA
180088	Hin	Hinu	Hinungan	10.399276	125.202656	Poblacion	Hinunangan	Southern Leyte	Eastern Visayas	Visayas	NA
180090	Ove	Over	Camp_Overton	8.2138629	124.203041	NA	Iligan City	Lanao del Norte	Northern Mindanao	Mindanao	NA
180097	Pri	PPri	Puerto_Princessa	9.7488371	118.724668	NA	Puerto Princesa City	Palawan	MIMAROPA	Luzon	NA
182968	Bai	Bais	Bais_Bay	9.5736677	123.142319	NA	Bais	Negros Oriental	Negros Island	Visayas	South Bais Bay
182973	Gal	PGal	Point_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
182997	Atu	AtuB	Atulayan_Bay	13.0872039	124.141658	NA	Prieto Diaz	Sorsogon	Bicol	Luzon	Albay Gulf
183268	Rag	RagR	NA	13.8105766	122.72906	NA	Ragay	Camarines Sur	Bicol	Luzon	NA
183271	Pas	RagR	Pasacao	13.4983004	123.056637	NA	Pasacao	Camarines Sur	Bicol	Luzon	NA
183272	Cat	Catb	NA	11.7734659	124.879118	NA	Catbalogan	Samar	Eastern Visayas	Visayas	NA
183326	Pnd	Pand	Mantacao_Id	9.9396692	123.869166	NA	Calape	Bohol	Central Visayas	Visayas	Mantatao Reef
183329	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
183333	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
183334	Rag	RagR	Ragay_River	13.8105766	122.72906	NA	Ragay	Camarines Sur	Bicol	Luzon	NA
183342	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
183345	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
190070	Mvi	Masi	Port_Matalvi	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
191914	Ham	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
191921	Bas	Basu	Basud_River	14.1165081	123.014961	NA	Mercedes	Camarines Norte	Bicol	Luzon	NA
191930	Bas	Basu	Basud_River	14.1165081	123.014961	NA	Mercedes	Camarines Norte	Bicol	Luzon	NA
191976	Mnt	Mant	Mantaguin_Bay	9.2263186	118.423605	NA	Narra	Palawan	MIMAROPA	Luzon	NA
191979	Ham	HamC	Hamilo_Cove	14.1810585	120.604616	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
364139	Pal	Bali	NA	12.6347634	125.00979	NA	Laoang	Northern Samar	Eastern Visayas	Visayas	Port Palapag
Bat-2018-002_002	Nas	Nasu	Nasugbu	14.07486849	120.6097726	NA	Nasugbu	Batangas	CALABARZON	Luzon	Jem 2.8.26. Lat/lon filled in based on lot: Bat-2018-003_003 which has the same site_id and all geographic information JDS 5.15.26
Bat-2018-003_003	Nas	HamC	sugbu	14.07486849	120.6097726	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove. Location updated from Albatross google map (Malin 2026-04-08). Odd that lat/lon plots slightly west of where it appears in that google map.
Bat-2018-003_004	Bat	HamC	sugbu	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
Bat-2018-004_006	Bat	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Jem 2.8.26
Bat-2018-005_007	Bat	HamC	sugbu	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
Bat-2019-007_009	Ham	PMar	Hamilo_Cove	14.1779794	120.5994237	Papaya	Nasugbu	Batangas	CALABARZON	Luzon	NA
Bat-2019-007_010	Ham	NA	Hamilo_Cove	NA	NA	NA	NA	NA	NA	NA	NA
Bat-2019-009_014	Ham	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
Bat-2019-010_016	Ham	SanR	Hamilo_Cove	NA	NA	NA	NA	NA	NA	NA	NA
Bat-2019-010_020	Ham	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
Boh-2021-01_01	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-01_02	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_01	Pnd	Pand	Pandan_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_03	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_04	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_07	Pnd	Pand	Pandan_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_08	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-02_12	Pnd	Pand	Pandan_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-03_03	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-03_06	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-03_08	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-03_09	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-03_12	Pnd	Pand	Pandanon_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-04_02	Pnd	Pand	Pandan_Id	10.1727237	124.078053	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
Boh-2021-08_01	Tag	Tagb	Tagbilaran	9.6400092	123.84784	NA	Tagbilaran City	Bohol	Central Visayas	Visayas	Tagbilaran Channel
Boh-2021-09_01	Mta	Boho	Mantatao_Id	9.9407386	123.852747	Mantatao	Calape	Bohol	Central Visayas	Visayas	Mantatao Reef
Boh-2022-01_01	Pnd	Pand	Babag_Market-_from_Cuaming_Island-_Bohol	10.1465248	124.0271276	Pandanon	Getafe	Bohol	Central Visayas	Visayas	location info from Albatross collection site google map (Malin 2026-04-08)
Boh-2022-01_02	Pnd	Pand	Babag_Market-_from_Cuaming_Island-_Bohol	10.1465248	124.0271276	Pandanon	Getafe	Bohol	Central Visayas	Visayas	location info from Albatross collection site google map (Malin 2026-04-08)
